0:139	Leaf terminal cluster 0:139	Leaf terminal cluster 0:139
0:1:1:3:31	Leaf terminal cluster 0:1:1:3:31	Leaf terminal cluster 0:1:1:3:31
0:1:3:17	Leaf terminal cluster 0:1:3:17	Leaf terminal cluster 0:1:3:17
0:252	Leaf terminal cluster 0:252	Leaf terminal cluster 0:252
0:2:2:7:3	Leaf terminal cluster 0:2:2:7:3	Leaf terminal cluster 0:2:2:7:3
0:306	Leaf terminal cluster 0:306	Leaf terminal cluster 0:306
0:2:2:2:36	Leaf terminal cluster 0:2:2:2:36	Leaf terminal cluster 0:2:2:2:36
0:2:2:2:68	Leaf terminal cluster 0:2:2:2:68	Leaf terminal cluster 0:2:2:2:68
0:1:4:32	Leaf terminal cluster 0:1:4:32	Leaf terminal cluster 0:1:4:32
0:2:2:14:2:3	Leaf terminal cluster 0:2:2:14:2:3	Leaf terminal cluster 0:2:2:14:2:3
0:1:3:91	Leaf terminal cluster 0:1:3:91	Leaf terminal cluster 0:1:3:91
0:1:3:182	Leaf terminal cluster 0:1:3:182	Leaf terminal cluster 0:1:3:182
0:3:3:3	Leaf terminal cluster 0:3:3:3	Leaf terminal cluster 0:3:3:3
0:38	Leaf terminal cluster 0:38	Leaf terminal cluster 0:38
0:1:1:1	Leaf terminal cluster 0:1:1:1	Leaf terminal cluster 0:1:1:1
0:107	Leaf terminal cluster 0:107	Leaf terminal cluster 0:107
0:2:1:1:22	Leaf terminal cluster 0:2:1:1:22	Leaf terminal cluster 0:2:1:1:22
0:1:1:3:33	Leaf terminal cluster 0:1:1:3:33	Leaf terminal cluster 0:1:1:3:33
0:1:1:195:2	Leaf terminal cluster 0:1:1:195:2	Leaf terminal cluster 0:1:1:195:2
0:1:2:23	Leaf terminal cluster 0:1:2:23	Leaf terminal cluster 0:1:2:23
0:2:2:2:36:3	Leaf terminal cluster 0:2:2:2:36:3	Leaf terminal cluster 0:2:2:2:36:3
0:29	Leaf terminal cluster 0:29	Leaf terminal cluster 0:29
0:200	Leaf terminal cluster 0:200	Leaf terminal cluster 0:200
0:1:4:59	Leaf terminal cluster 0:1:4:59	Leaf terminal cluster 0:1:4:59
0:2:1:1:274	Leaf terminal cluster 0:2:1:1:274	Leaf terminal cluster 0:2:1:1:274
0:2:2:6:3:1	Leaf terminal cluster 0:2:2:6:3:1	Leaf terminal cluster 0:2:2:6:3:1
